iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
420,GrPX,260,5,75,15,10,22,4,6,21,34,36,37,0,0,0,0,0,0,0,0,0,0,0,0,0.000392134,0.0221863,0.0176746
430,GrPX,294,8,96,10,7,32,8,5,18,33,28,57,0,0,0,0,0,0,0,0,0,0,0,0,0.000396583,0.0268456,0.0147727
440,GrPX,307,6,112,17,10,20,8,3,13,45,29,50,0,0,0,0,0,0,0,0,0,0,0,0,0.000397563,0.0260152,0.0152819
450,GrPX,412,5,140,25,18,38,14,8,31,43,33,62,0,0,0,0,0,0,0,0,0,0,0,0,0.000471914,0.0250648,0.0188278
460,GrPX,349,7,116,24,8,33,15,6,17,42,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0.000392383,0.0279953,0.014016
470,GrPX,214,6,76,13,4,29,6,4,14,16,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0.000385113,0.0229151,0.0168061
480,GrPX,358,8,117,17,16,29,13,4,26,44,29,63,0,0,0,0,0,0,0,0,0,0,0,0,0.000402873,0.0301297,0.0133713
490,GrPX,302,6,90,15,8,33,10,5,14,36,32,59,0,0,0,0,0,0,0,0,0,0,0,0,0.000394984,0.0258904,0.015256
500,GrPX,319,7,126,15,9,25,10,3,18,39,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0.000404073,0.0257981,0.0156629
510,GrPX,288,6,99,14,9,25,14,3,5,46,24,49,0,0,0,0,0,0,0,0,0,0,0,0,0.000411553,0.0220461,0.0186678
520,GrPX,326,5,123,19,16,32,12,3,18,33,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.000407144,0.0185291,0.0219732
530,GrPX,381,6,129,21,14,47,9,7,16,42,39,57,0,0,0,0,0,0,0,0,0,0,0,0,0.000406713,0.0232716,0.0174768
540,GrPX,303,5,105,16,10,25,8,10,13,50,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0.000391143,0.0193577,0.0202061
550,GrPX,221,5,82,12,7,21,8,3,13,22,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0.000389353,0.021977,0.0177164
560,GrPX,321,6,94,20,10,36,15,5,17,42,24,58,0,0,0,0,0,0,0,0,0,0,0,0,0.000403943,0.0290337,0.0139129
570,GrPX,304,6,101,18,12,27,9,7,17,45,21,47,6,3,1,0,1,2,0,0,0,0,0,2,0.000396943,0.0320866,0.012371
580,GrPX,290,7,105,11,9,34,13,5,17,31,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0.000399134,0.0260382,0.0153288
590,GrPX,230,6,76,9,5,25,7,4,12,25,23,44,0,0,0,0,0,0,0,0,0,0,0,0,0.000397683,0.02363,0.0168296
600,GrPX,327,6,113,19,15,34,13,4,13,36,41,39,0,0,0,0,0,0,0,0,0,0,0,0,0.000403164,0.0240206,0.0167841
610,GrPX,151,5,61,6,4,15,4,2,13,15,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0.000386833,0.0155433,0.0248875
620,GrPX,331,8,103,24,10,26,19,9,20,25,24,71,0,0,0,0,0,0,0,0,0,0,0,0,0.000401073,0.0291753,0.013747
630,GrPX,276,6,98,13,5,19,6,10,10,46,30,39,0,0,0,0,0,0,0,0,0,0,0,0,0.000388993,0.0204077,0.0190611
640,GrPX,169,5,59,17,4,11,6,2,10,13,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0.000392013,0.0173357,0.022613
650,GrPX,214,4,88,16,3,22,9,2,20,18,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0.000383993,0.0200415,0.0191599
660,GrPX,334,5,139,21,13,21,8,5,17,32,28,50,0,0,0,0,0,0,0,0,0,0,0,0,0.000390953,0.0239335,0.016335
670,GrPX,391,8,125,26,12,42,9,7,30,37,49,54,9,3,1,0,0,2,0,0,1,1,1,3,0.000404104,0.0365205,0.0110651
680,GrPX,242,8,65,18,4,28,10,4,27,24,18,44,0,0,0,0,0,0,0,0,0,0,0,0,0.000399013,0.0240733,0.0165749
690,GrPX,375,4,122,28,14,33,11,2,17,45,44,59,0,0,0,0,0,0,0,0,0,0,0,0,0.000412623,0.022044,0.0187181
700,GrPX,207,5,80,11,5,23,6,3,12,22,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0.000399153,0.0201374,0.0198215
710,GrPX,235,6,86,14,7,25,9,4,18,15,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0.000389633,0.0237692,0.0163923
720,GrPX,414,5,168,28,16,34,7,5,13,57,37,49,0,0,0,0,0,0,0,0,0,0,0,0,0.000407493,0.0229359,0.0177666
730,GrPX,197,6,83,8,4,18,5,3,8,22,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.000392663,0.0181086,0.0216837
740,GrPX,257,8,97,11,8,18,13,4,14,23,18,51,4,3,2,0,0,2,0,0,0,0,0,0,0.000398453,0.0346674,0.0114936
750,GrPX,305,7,116,13,6,26,8,4,14,50,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0.000403193,0.0235332,0.017133
760,GrPX,239,6,84,6,11,22,6,3,8,30,19,50,0,0,0,0,0,0,0,0,0,0,0,0,0.000391983,0.0258236,0.0151792
770,GrPX,303,5,115,14,11,31,7,5,15,36,30,39,5,3,0,0,0,0,0,1,1,1,0,2,0.000401113,0.0280926,0.0142783
780,GrPX,314,6,108,15,10,31,9,5,21,42,29,44,0,0,0,0,0,0,0,0,0,0,0,0,0.000406493,0.0244916,0.0165973
790,GrPX,351,7,137,21,16,35,5,6,23,31,38,39,0,0,0,0,0,0,0,0,0,0,0,0,0.000412193,0.0248208,0.0166068
800,GrPX,233,9,84,13,8,20,4,4,9,23,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0.000393584,0.0300513,0.0130971
810,GrPX,222,9,80,17,4,17,6,2,20,22,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0.000389053,0.0263813,0.0147473
820,GrPX,202,4,78,9,11,13,7,3,16,18,20,27,4,3,2,0,0,0,0,0,1,0,1,0,0.000396183,0.0232847,0.0170147
830,GrPX,355,6,139,17,8,39,13,7,27,28,31,46,0,0,0,0,0,0,0,0,0,0,0,0,0.000406963,0.0227094,0.0179205
840,GrPX,156,11,52,9,3,17,3,2,14,22,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0.000397703,0.0259534,0.0153237
850,GrPX,204,5,80,11,5,19,5,3,12,23,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0.000394644,0.0246267,0.016025
860,GrPX,180,5,61,12,2,17,7,1,7,24,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0.000403763,0.0220419,0.018318
870,GrPX,320,5,115,16,10,32,10,4,13,38,39,43,0,0,0,0,0,0,0,0,0,0,0,0,0.000397574,0.0232328,0.0171126
880,GrPX,355,5,134,10,7,36,9,1,17,53,41,47,0,0,0,0,0,0,0,0,0,0,0,0,0.000402124,0.0229776,0.0175007
890,GrPX,200,4,79,10,7,15,6,6,8,25,23,21,10,3,3,0,1,2,0,0,1,0,1,2,0.000390153,0.0257821,0.0151327
900,GrPX,239,6,95,18,10,20,9,3,9,16,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0.000392974,0.0224781,0.0174825
910,GrPX,213,7,67,15,2,29,5,1,14,21,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0.000390533,0.0247194,0.0157987
920,GrPX,206,5,75,10,9,19,6,4,7,23,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0.000399583,0.0205108,0.0194816
930,GrPX,222,4,86,13,6,26,9,5,8,24,18,27,8,4,2,0,0,1,0,0,0,0,0,5,0.000390783,0.028564,0.013681
940,GrPX,202,7,76,10,4,21,4,5,16,22,8,36,0,3,0,0,0,0,0,0,0,0,0,0,0.000464284,0.0339893,0.0136597
950,GrPX,325,8,99,11,12,42,8,3,25,34,32,59,0,0,0,0,0,0,0,0,0,0,0,0,0.000393413,0.0304658,0.0129133
960,GrPX,304,5,101,9,8,35,8,3,14,45,36,45,0,0,0,0,0,0,0,0,0,0,0,0,0.000416194,0.0240649,0.0172947
970,GrPX,263,4,100,10,9,27,6,6,14,26,26,39,0,0,0,0,0,0,0,0,0,0,0,0,0.000401233,0.0182215,0.0220198
980,GrPX,260,5,84,13,9,21,11,5,18,37,26,36,3,3,1,0,0,1,0,0,0,0,0,1,0.000401753,0.0240682,0.0166923
990,GrPX,182,6,56,6,6,14,5,1,21,24,20,29,19,4,1,0,0,5,0,1,2,1,0,9,0.000399493,0.0333034,0.0119956
1000,GrPX,266,5,96,15,11,25,7,2,15,30,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0.000402563,0.0208902,0.0192705
1010,GrPX,244,7,97,9,10,22,6,3,16,27,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0.000386604,0.0203258,0.0190203
1020,GrPX,130,4,52,6,3,7,1,3,10,10,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0.000396873,0.018854,0.0210498
1030,GrPX,271,7,91,17,5,25,5,7,15,30,24,52,0,0,0,0,0,0,0,0,0,0,0,0,0.000397883,0.0252464,0.01576
1040,GrPX,240,6,77,8,7,24,9,5,17,25,24,44,12,3,2,0,0,2,0,0,0,1,0,7,0.000388153,0.0311489,0.0124612
1050,GrPX,224,7,85,18,6,18,2,2,19,19,13,42,0,0,0,0,0,0,0,0,0,0,0,0,0.000393864,0.0230923,0.0170561
1060,GrPX,157,7,54,6,10,16,2,3,9,17,6,34,5,3,0,0,0,1,0,0,1,1,0,2,0.000384883,0.0276114,0.0139393
1070,GrPX,323,8,107,13,17,34,7,2,18,39,31,55,0,0,0,0,0,0,0,0,0,0,0,0,0.000399313,0.0292306,0.0136608
1080,GrPX,153,5,53,6,2,12,7,2,15,16,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0.000390633,0.0202999,0.0192431
