iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,GOX,248,7,77,13,9,40,11,7,16,29,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0.00276777,0.016539,0.167348
10,GOX,65,5,18,2,2,12,0,2,3,12,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0022819,0.00940469,0.242634
20,GOX,65,5,25,2,1,9,2,2,3,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0.00246465,0.0104997,0.234736
30,GOX,280,6,81,9,7,55,3,10,23,22,21,49,0,0,0,0,0,0,0,0,0,0,0,0,0.00239786,0.0175994,0.136246
40,GOX,116,5,26,8,6,24,5,2,9,4,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0.00238329,0.0110244,0.216184
50,GOX,302,5,85,15,14,53,3,18,33,20,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0.00231458,0.0164544,0.140666
60,GOX,53,4,16,3,1,13,0,3,3,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0.00246533,0.00895128,0.275416
70,GOX,137,7,51,2,1,24,5,4,8,7,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0.00236777,0.0155952,0.151827
80,GOX,281,5,76,12,10,55,5,12,17,18,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0.00238861,0.0186633,0.127985
90,GOX,160,5,47,10,7,31,3,6,12,8,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0.00262707,0.0129276,0.203215
100,GOX,259,5,68,14,2,52,8,18,21,10,21,45,0,0,0,0,0,0,0,0,0,0,0,0,0.00240969,0.0168351,0.143135
110,GOX,251,6,80,7,7,43,3,10,25,21,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0024038,0.0154762,0.155322
120,GOX,158,5,62,10,5,33,2,2,11,5,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0.00237613,0.0121585,0.195429
130,GOX,146,6,57,4,1,22,3,2,15,13,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0.00229585,0.0124221,0.18482
140,GOX,141,5,46,4,7,19,2,3,12,17,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0.00225712,0.0134972,0.167229
150,GOX,155,5,63,4,6,23,1,7,6,12,11,22,66,5,20,11,2,4,2,3,4,9,2,9,0.00228929,0.0256312,0.0893163
160,GOX,58,4,15,1,1,12,1,1,0,8,7,12,77,5,16,4,4,10,1,3,10,9,8,12,0.000262372,0.0185465,0.0141467
170,GOX,129,5,37,3,4,29,3,5,10,5,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0.00243243,0.0131988,0.184292
180,GOX,59,4,21,1,0,14,1,1,3,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0.00269087,0.010388,0.259036
190,GOX,133,4,46,2,3,24,4,6,7,8,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0.0022657,0.0095956,0.236119
200,GOX,176,6,58,12,7,30,5,7,11,12,15,19,89,6,28,5,4,7,1,1,4,9,11,19,0.00234704,0.0288339,0.0813986
210,GOX,132,5,45,8,1,20,1,4,11,17,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0.00270732,0.0118606,0.228261
220,GOX,87,4,40,3,1,13,1,6,6,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0.00238141,0.00826856,0.288008
230,GOX,154,5,52,8,4,22,3,7,9,16,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0.00237908,0.0122766,0.193789
240,GOX,166,5,44,12,9,24,5,3,15,9,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0.00237615,0.0162911,0.145856
250,GOX,83,5,32,4,3,6,5,3,11,7,5,7,68,6,17,4,5,5,1,5,6,8,3,14,0.00221502,0.0243681,0.0908982
260,GOX,116,5,41,0,6,17,4,4,3,9,9,23,72,6,16,6,4,6,3,1,5,12,6,13,0.00227633,0.0232983,0.0977034
270,GOX,131,6,49,0,4,18,1,3,6,9,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0.00242282,0.014894,0.16267
280,GOX,209,10,42,7,5,54,3,18,7,8,18,47,0,0,0,0,0,0,0,0,0,0,0,0,0.00231953,0.0184675,0.125601
290,GOX,117,4,40,7,6,16,6,4,7,9,4,18,37,5,11,4,1,3,0,2,1,7,3,5,0.00234729,0.0196827,0.119256
300,GOX,138,5,35,6,7,26,5,2,6,15,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0.00226583,0.0112426,0.201539
310,GOX,24,3,9,0,2,1,1,3,2,1,2,3,39,4,13,0,1,8,0,0,2,7,4,4,0.0023107,0.0165345,0.139751
320,GOX,132,4,37,10,4,25,6,11,5,8,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0.00231901,0.0112141,0.206795
330,GOX,99,5,32,2,4,11,1,2,6,14,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0.0023009,0.0130624,0.176147
340,GOX,59,5,15,0,0,7,1,1,4,8,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0.00227086,0.0113173,0.200654
350,GOX,101,4,31,3,6,20,2,3,8,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0.00234822,0.0109913,0.213643
360,GOX,56,3,15,2,2,11,2,2,5,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0.00228906,0.00801115,0.285734
370,GOX,90,3,37,7,2,14,2,4,4,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00233085,0.00882741,0.264047
380,GOX,173,6,34,7,11,37,3,14,12,16,12,27,0,0,0,0,0,0,0,0,0,0,0,0,0.00231324,0.0152336,0.151851
