iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
18590,UOX,1408,5,596,136,53,136,64,38,108,123,81,73,173,6,63,6,6,14,7,0,8,16,16,37,0.000991655,0.048035,0.0206444
18600,UOX,1319,8,567,115,65,126,78,27,81,96,72,92,0,0,0,0,0,0,0,0,0,0,0,0,0.000224771,0.0370971,0.00605898
18610,UOX,1277,6,547,114,38,116,74,32,82,108,82,84,0,0,0,0,0,0,0,0,0,0,0,0,0.00101098,0.0289774,0.0348884
18620,UOX,1299,5,589,118,55,123,60,29,84,83,80,78,157,6,65,5,1,12,3,2,6,12,18,33,0.00103285,0.0523779,0.0197191
18630,UOX,1305,11,564,131,39,112,69,40,87,97,85,81,0,0,0,0,0,0,0,0,0,0,0,0,0.00101366,0.0416901,0.0243143
18640,UOX,1244,7,524,123,46,122,66,25,70,105,93,70,0,0,0,0,0,0,0,0,0,0,0,0,0.000983386,0.0339894,0.0289322
18650,UOX,1269,8,508,152,44,115,65,26,74,107,80,98,18,3,3,4,0,1,2,0,3,2,0,3,0.000966455,0.0451715,0.0213952
18660,UOX,1281,6,536,120,32,124,67,33,103,108,85,73,186,6,53,3,4,21,11,1,9,19,11,54,0.00100066,0.0538011,0.0185992
18670,UOX,1284,8,588,132,39,113,47,30,83,99,74,79,0,0,0,0,0,0,0,0,0,0,0,0,0.000157031,0.0362134,0.00433627
18680,UOX,1234,6,533,124,32,113,64,28,87,113,76,64,46,6,16,2,1,2,2,0,2,6,1,14,0.000154521,0.0404801,0.00381721
18690,UOX,1257,7,527,119,35,109,55,33,87,118,88,86,0,0,0,0,0,0,0,0,0,0,0,0,0.000993605,0.0305809,0.0324911
18700,UOX,1113,5,464,115,35,100,58,31,87,89,65,69,0,0,0,0,0,0,0,0,0,0,0,0,0.000157531,0.0286072,0.00550669
18710,UOX,1452,7,591,132,35,150,87,34,94,145,89,95,0,0,0,0,0,0,0,0,0,0,0,0,0.000155481,0.0348717,0.00445866
18720,UOX,1186,6,522,131,25,114,67,30,62,87,78,70,175,6,49,3,5,12,4,1,6,11,19,65,0.000154851,0.0522803,0.00296194
18730,UOX,1158,6,531,92,45,101,72,23,71,79,66,78,0,0,0,0,0,0,0,0,0,0,0,0,0.000997046,0.0259585,0.0384092
18740,UOX,1089,6,487,107,43,89,54,16,96,93,51,53,0,0,0,0,0,0,0,0,0,0,0,0,0.00016846,0.0252319,0.00667648
18750,UOX,1134,7,491,111,30,107,68,20,68,91,54,94,0,0,0,0,0,0,0,0,0,0,0,0,0.000992835,0.032544,0.0305075
18760,UOX,1142,7,482,115,30,116,52,45,67,92,66,77,0,0,0,0,0,0,0,0,0,0,0,0,0.000991296,0.0286514,0.0345985
18770,UOX,1242,10,575,131,38,119,71,25,67,67,56,93,0,0,0,0,0,0,0,0,0,0,0,0,0.00101223,0.0429981,0.0235411
18780,UOX,1180,7,509,107,28,117,67,31,86,78,75,82,0,0,0,0,0,0,0,0,0,0,0,0,0.000152781,0.0341892,0.0044687
18790,UOX,1282,7,554,137,53,106,53,24,91,113,89,62,221,6,89,11,6,13,13,2,11,19,21,36,0.00104569,0.0532008,0.0196556
18800,UOX,1136,5,485,106,39,123,60,32,73,103,64,51,0,0,0,0,0,0,0,0,0,0,0,0,0.000158751,0.0242195,0.00655468
18810,UOX,1159,9,517,125,35,114,55,30,79,61,56,87,0,0,0,0,0,0,0,0,0,0,0,0,0.000155701,0.0357241,0.00435844
18820,UOX,1212,6,519,125,42,108,77,23,74,88,75,81,0,0,0,0,0,0,0,0,0,0,0,0,0.00101135,0.0310289,0.0325937
