iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
420,GLOX,33,3,17,1,0,2,0,0,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.000550913,0.00703205,0.0783432
430,GLOX,84,4,26,5,3,8,5,2,3,8,2,22,26,3,12,0,0,2,1,1,1,5,1,3,0.000551054,0.0255838,0.0215392
440,GLOX,133,4,49,18,4,11,4,4,9,14,4,16,26,3,11,4,2,1,3,0,1,2,0,2,0.00139371,0.0203692,0.0684223
450,GLOX,45,3,18,1,2,8,3,0,6,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.000549304,0.00914619,0.0600582
460,GLOX,54,4,21,6,2,4,1,1,4,4,6,5,12,3,4,0,2,0,1,0,1,2,0,2,0.000544134,0.0182188,0.0298666
470,GLOX,76,4,20,7,1,14,5,1,3,3,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0.000543434,0.0133655,0.0406594
480,GLOX,68,4,31,1,2,7,0,1,4,6,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0.000539743,0.0145085,0.0372017
490,GLOX,53,4,17,1,0,5,4,0,1,12,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000547144,0.00941755,0.0580983
500,GLOX,113,4,39,1,2,14,5,1,3,9,16,23,85,5,26,2,0,11,5,1,6,5,6,23,0.00136051,0.0358245,0.0379771
510,GLOX,69,3,32,6,3,3,1,3,3,4,7,7,67,3,29,1,3,8,1,2,1,3,2,17,0.000542684,0.0233907,0.0232008
520,GLOX,167,4,67,16,7,15,8,1,9,12,12,20,121,7,35,8,2,10,2,3,4,13,9,35,0.00136244,0.0385119,0.0353771
530,GLOX,28,3,12,1,2,1,0,1,0,4,4,3,98,5,39,3,1,14,2,3,5,4,4,23,0.000545504,0.0270371,0.0201761
540,GLOX,78,4,30,3,1,7,2,1,4,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00135551,0.0136831,0.0990642
550,GLOX,34,4,19,3,1,2,0,1,1,1,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0.000553964,0.0152649,0.03629
560,GLOX,79,4,29,3,1,9,7,2,2,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0.000563064,0.0152434,0.0369383
570,GLOX,51,4,21,0,0,12,1,0,2,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000543544,0.0111118,0.048916
580,GLOX,74,3,32,5,4,5,2,2,7,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0.000556184,0.0108685,0.0511741
590,GLOX,92,4,44,3,2,11,3,0,2,9,4,14,15,3,5,0,0,3,1,0,2,0,0,4,0.000553263,0.0201619,0.027441
600,GLOX,50,3,18,5,1,7,0,0,3,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0.000552294,0.00918886,0.0601047
610,GLOX,99,4,41,5,3,6,8,1,3,10,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0.000557804,0.0144535,0.038593
620,GLOX,51,4,25,1,3,4,3,1,2,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0.00138474,0.00981473,0.141088
630,GLOX,66,5,32,3,3,6,0,1,2,6,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0.000554993,0.0149267,0.0371811
640,GLOX,85,4,44,1,3,6,3,1,3,9,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0.000545533,0.0098102,0.0556088
650,GLOX,94,3,39,3,3,10,5,2,2,10,11,9,6,3,3,0,0,1,0,0,1,0,0,1,0.00138734,0.0179383,0.0773394
660,GLOX,57,5,27,1,1,2,3,3,0,7,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0.000550554,0.0128105,0.0429768
670,GLOX,41,4,17,5,0,5,0,1,5,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.000555643,0.00903193,0.0615198
680,GLOX,76,3,31,2,5,4,2,2,3,13,5,9,6,3,2,0,0,2,0,0,0,1,0,1,0.000552193,0.0161642,0.0341615
690,GLOX,34,4,17,4,0,2,2,2,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.000552814,0.0078309,0.0705939
700,GLOX,93,4,35,3,2,6,4,1,2,15,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0.00139387,0.0140739,0.0990394
710,GLOX,72,4,31,4,2,5,2,0,2,6,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0013967,0.0110393,0.126521
720,GLOX,71,3,32,5,2,5,3,1,3,4,5,11,13,3,4,0,0,3,0,0,0,1,1,4,0.000550163,0.0189557,0.0290236
730,GLOX,28,3,12,2,4,2,1,0,3,3,0,1,10,3,5,0,0,1,0,1,1,2,0,0,0.000548874,0.012644,0.0434099
740,GLOX,89,4,30,10,8,4,3,1,8,3,10,12,10,4,4,0,0,2,0,0,1,0,0,3,0.000553364,0.0215364,0.0256944
750,GLOX,135,4,57,18,3,14,2,4,5,8,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0.00140666,0.01149,0.122424
760,GLOX,127,6,40,1,0,16,6,1,4,10,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0.00140918,0.0225517,0.0624867
770,GLOX,100,4,46,8,4,8,3,0,7,4,5,15,5,3,2,0,0,1,1,0,0,0,0,1,0.000572144,0.0202293,0.0282829
780,GLOX,77,4,29,2,2,13,1,1,8,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0.00140424,0.0116944,0.120078
790,GLOX,93,5,26,9,5,11,3,1,5,8,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0.000556994,0.0123469,0.0451121
800,GLOX,94,5,34,8,1,7,5,1,2,8,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0.000558734,0.0133072,0.0419873
