iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,GLOX,111,8,28,4,3,15,9,2,4,6,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0.000775335,0.022922,0.033825
10,GLOX,123,4,44,8,4,14,3,4,17,9,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0.00228964,0.0129161,0.177271
20,GLOX,220,4,67,13,8,24,13,7,19,16,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0.0023181,0.0174224,0.133052
30,GLOX,166,7,53,10,4,25,7,2,9,12,16,28,11,3,3,0,0,1,0,0,1,1,0,5,0.000694974,0.026519,0.0262067
40,GLOX,140,4,40,12,3,27,5,2,7,10,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0.000703734,0.0148721,0.0473189
50,GLOX,205,6,70,6,4,17,12,9,11,17,14,45,0,0,0,0,0,0,0,0,0,0,0,0,0.000702865,0.0260844,0.0269458
60,GLOX,128,5,43,14,4,13,4,4,11,4,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0.0021806,0.0170714,0.127734
70,GLOX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000708184,0.00679121,0.104279
80,GLOX,312,6,94,10,9,48,10,10,17,25,24,65,0,0,0,0,0,0,0,0,0,0,0,0,0.00222419,0.0278611,0.0798312
90,GLOX,99,4,32,4,7,13,2,2,9,9,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0.000703524,0.0123804,0.0568257
100,GLOX,258,8,90,12,4,32,11,9,21,25,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0.00228944,0.0211742,0.108124
110,GLOX,94,4,30,7,2,14,4,4,11,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0.00215219,0.0134343,0.160202
120,GLOX,201,7,64,9,3,28,9,3,22,11,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0.0021748,0.0246748,0.0881384
130,GLOX,151,9,55,8,5,16,3,1,12,8,5,38,0,0,0,0,0,0,0,0,0,0,0,0,0.0021496,0.0271384,0.0792089
140,GLOX,187,6,67,14,8,20,6,2,17,15,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0.00231088,0.0165949,0.139252
150,GLOX,82,4,29,6,1,6,4,1,8,6,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0021717,0.0151791,0.143072
160,GLOX,120,5,37,11,3,17,5,2,15,7,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0.00215437,0.0149651,0.14396
170,GLOX,115,4,42,14,4,19,4,2,6,6,6,12,3,3,1,0,0,1,0,0,0,0,0,1,0.000705055,0.0192366,0.0366518
180,GLOX,103,6,33,3,2,21,1,6,10,5,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0022047,0.0149376,0.147595
190,GLOX,272,9,69,11,6,48,5,8,16,5,11,93,0,0,0,0,0,0,0,0,0,0,0,0,0.00218345,0.035746,0.0610826
200,GLOX,176,4,52,6,4,28,4,2,6,16,17,41,0,0,0,0,0,0,0,0,0,0,0,0,0.00228086,0.019104,0.119391
210,GLOX,133,5,46,11,4,20,3,2,10,8,2,27,8,3,2,0,1,2,0,0,0,0,0,3,0.00217527,0.0273635,0.0794951
220,GLOX,172,7,50,10,5,29,6,9,13,10,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0.00217879,0.0239136,0.0911113
230,GLOX,78,5,22,7,3,9,1,5,5,8,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0.000703075,0.0152379,0.0461398
240,GLOX,201,10,50,9,5,35,1,4,13,12,9,63,4,3,0,0,0,1,0,0,0,0,0,3,0.00216599,0.0389729,0.0555769
250,GLOX,81,4,17,6,0,19,2,2,9,6,1,19,15,3,5,2,0,4,0,1,1,1,0,1,0.00214336,0.0247465,0.0866128
260,GLOX,138,8,49,5,1,14,6,2,15,6,7,33,6,3,2,0,0,0,0,1,2,0,0,1,0.00214914,0.0292152,0.0735625
270,GLOX,151,8,44,6,4,17,7,3,7,11,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0.00221936,0.0232939,0.0952763
280,GLOX,174,6,61,6,4,27,3,5,20,8,4,36,7,3,4,1,0,1,0,0,1,0,0,0,0.00218372,0.0291175,0.0749969
290,GLOX,108,4,36,2,4,23,2,1,15,6,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0.00219959,0.0131929,0.166725
300,GLOX,247,8,77,18,5,32,9,6,17,11,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0.0022076,0.0287378,0.0768186
310,GLOX,93,5,30,7,1,14,2,1,9,8,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0.00214215,0.0139912,0.153107
320,GLOX,209,9,59,9,8,32,7,1,20,9,9,55,0,0,0,0,0,0,0,0,0,0,0,0,0.00219009,0.0279441,0.0783737
330,GLOX,138,7,47,5,0,18,6,4,8,6,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0.00216904,0.0260696,0.0832018
340,GLOX,176,7,63,6,9,21,9,8,13,10,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0.0021727,0.0209696,0.103611
350,GLOX,108,6,39,7,2,8,5,2,7,6,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0.00217223,0.0181596,0.119619
