iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
430,OX,128,4,41,5,3,32,0,3,4,13,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0.00431639,0.00901211,0.478954
440,OX,166,6,38,2,3,31,5,3,4,21,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0.00435563,0.0136843,0.318295
450,OX,96,4,26,7,3,22,3,0,2,8,8,17,3,3,1,0,0,1,0,0,0,0,0,1,0.00386251,0.0180956,0.21345
460,OX,147,4,38,3,4,44,1,3,6,11,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0.00386743,0.0123475,0.313215
470,OX,118,5,33,1,3,19,2,3,4,7,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0.00375302,0.0121671,0.308456
480,OX,155,5,42,10,6,28,3,3,9,13,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0.00417194,0.0107778,0.387088
490,OX,187,6,50,5,8,35,1,8,8,17,12,43,5,3,2,0,0,1,0,0,0,0,0,2,0.00383615,0.0203552,0.188461
500,OX,61,4,17,1,0,12,0,2,6,5,5,13,5,3,1,0,0,2,1,0,0,0,0,1,0.00380066,0.0172549,0.220266
510,OX,179,5,41,8,4,35,3,6,11,14,12,45,5,3,1,0,0,2,0,0,0,0,0,2,0.00398836,0.0204816,0.194729
520,OX,99,6,28,0,2,20,1,4,6,6,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0.00384525,0.0110216,0.348884
530,OX,81,5,19,3,2,20,1,3,3,8,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0.00379665,0.0107869,0.351968
540,OX,109,4,30,3,0,27,2,4,8,7,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0.00383419,0.0098414,0.389599
550,OX,54,5,18,1,2,10,0,2,6,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00380374,0.00950399,0.400226
560,OX,55,5,9,1,3,11,2,2,2,6,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0.00385633,0.0085423,0.45144
570,OX,35,3,13,1,4,7,0,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00390633,0.00692868,0.563791
580,OX,142,4,40,3,3,37,0,5,3,9,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0.00397805,0.0114043,0.348821
590,OX,147,5,36,6,10,35,4,6,11,12,5,22,7,3,2,0,0,1,0,0,0,2,1,1,0.00380505,0.0155047,0.245413
600,OX,89,4,18,4,3,22,3,5,6,9,7,12,5,3,2,0,1,1,0,0,0,0,0,1,0.00410699,0.0163385,0.251368
610,OX,158,4,47,5,6,32,3,9,10,10,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0.00397068,0.0136119,0.291707
620,OX,34,3,8,1,2,6,2,2,4,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0.000157521,0.00602152,0.0261597
630,OX,130,6,52,3,2,16,3,4,5,15,8,22,8,3,2,0,0,2,0,0,0,1,0,3,0.00384367,0.0185293,0.207438
