iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
430,PMX,231,9,25,5,6,54,4,11,0,26,16,84,31,3,7,2,1,12,0,2,0,0,1,6,0.00809693,0.0412319,0.196376
440,PMX,169,5,26,7,1,33,5,9,1,33,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0.00819012,0.0203918,0.401638
450,PMX,134,4,20,3,2,33,1,7,1,14,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0.00826794,0.018785,0.440136
460,PMX,230,4,32,4,3,64,1,11,2,37,18,58,20,3,4,0,0,4,0,0,0,2,1,9,0.00822073,0.0328264,0.250431
470,PMX,218,4,17,3,6,72,3,8,1,31,14,63,22,3,3,1,0,5,0,2,0,3,2,6,0.00829818,0.032721,0.253604
480,PMX,207,5,30,8,4,67,1,10,0,25,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0.00835989,0.0185034,0.451804
490,PMX,159,5,20,6,3,54,1,6,1,16,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0.00820251,0.0203329,0.403412
500,PMX,177,5,34,1,0,43,2,13,1,23,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0.00826875,0.0219078,0.377433
510,PMX,108,4,17,4,1,24,2,4,0,17,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0.00816449,0.0176617,0.46227
520,PMX,185,5,28,5,3,50,4,11,3,25,13,43,58,6,15,2,2,18,0,1,1,3,4,12,0.00850833,0.0355859,0.239093
530,PMX,157,6,15,6,2,35,2,7,1,18,18,53,0,0,0,0,0,0,0,0,0,0,0,0,0.00827958,0.0232093,0.356736
540,PMX,82,3,16,3,3,23,0,6,0,12,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0.00842982,0.0147128,0.57296
550,PMX,250,5,40,2,2,68,1,15,3,34,18,67,12,3,2,0,0,4,0,0,0,1,0,5,0.00847837,0.0347817,0.24376
560,PMX,186,4,18,8,1,51,1,9,1,30,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0.00820755,0.0202674,0.404963
570,PMX,283,7,43,4,6,83,3,14,0,36,21,73,0,0,0,0,0,0,0,0,0,0,0,0,0.00835474,0.0252381,0.331037
