iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
420,EAX,1228,6,475,93,51,115,62,25,72,143,98,94,7,3,2,0,0,1,0,0,0,0,0,4,0.0139539,0.0616775,0.22624
430,EAX,1078,8,401,75,34,110,36,15,68,113,107,119,605,7,250,29,21,56,22,12,23,72,45,75,0.00752095,0.0926444,0.0811809
440,EAX,1185,8,485,83,36,88,42,10,68,128,109,136,0,0,0,0,0,0,0,0,0,0,0,0,0.0120798,0.0480559,0.251369
450,EAX,1224,8,448,87,43,91,61,18,75,146,108,147,0,0,0,0,0,0,0,0,0,0,0,0,0.00732618,0.052146,0.140494
460,EAX,1148,7,432,83,50,98,43,24,90,119,113,96,0,0,0,0,0,0,0,0,0,0,0,0,0.00771143,0.0487967,0.158032
470,EAX,1375,14,515,101,47,116,56,22,99,124,138,157,1,3,0,0,0,0,0,0,0,1,0,0,0.00956734,0.0741901,0.128957
480,EAX,1241,10,453,85,42,100,40,19,88,139,107,168,28,3,12,2,0,4,4,0,2,0,0,4,0.0082439,0.0764694,0.107807
490,EAX,1286,8,467,78,55,98,48,15,89,137,138,161,0,0,0,0,0,0,0,0,0,0,0,0,0.00788926,0.0599365,0.131627
500,EAX,1200,6,466,79,35,106,50,13,64,152,119,116,0,0,0,0,0,0,0,0,0,0,0,0,0.00954012,0.0487657,0.195632
510,EAX,1283,9,512,94,34,110,68,16,86,132,110,121,73,6,18,1,0,8,2,0,9,1,4,30,0.00855369,0.0764586,0.111874
520,EAX,1325,11,525,86,45,110,59,23,89,145,115,128,24,3,11,1,0,5,0,2,0,0,0,5,0.00677864,0.0684088,0.0990901
530,EAX,1323,8,528,81,48,111,46,20,95,142,121,131,0,0,0,0,0,0,0,0,0,0,0,0,0.00768785,0.0570282,0.134808
540,EAX,1186,8,476,85,38,88,49,22,89,107,113,119,58,4,16,1,0,10,2,1,6,1,4,17,0.006491,0.0680471,0.0953897
550,EAX,1221,10,475,74,42,120,37,13,78,130,116,136,0,3,0,0,0,0,0,0,0,0,0,0,0.00937625,0.0729551,0.128521
560,EAX,1153,7,423,85,34,111,39,12,80,125,107,137,53,6,11,2,1,7,4,0,3,2,2,21,0.0063222,0.0713572,0.0885994
570,EAX,1205,7,459,80,29,111,45,18,72,135,136,120,0,0,0,0,0,0,0,0,0,0,0,0,0.00779572,0.0491638,0.158566
580,EAX,1253,10,485,90,44,104,45,26,77,109,120,153,2,3,2,0,0,0,0,0,0,0,0,0,0.00581178,0.0623929,0.0931481
590,EAX,1190,12,432,91,39,84,48,19,79,121,119,158,0,0,0,0,0,0,0,0,0,0,0,0,0.012166,0.0597188,0.203722
600,EAX,1250,9,491,59,40,124,57,26,77,129,109,138,0,0,0,0,0,0,0,0,0,0,0,0,0.00775074,0.0659594,0.117508
610,EAX,1296,7,478,98,51,110,62,15,68,139,138,137,12,3,4,0,0,2,0,0,0,1,0,5,0.0112723,0.0607353,0.185597
620,EAX,1135,9,414,52,36,106,37,13,77,141,115,144,0,0,0,0,0,0,0,0,0,0,0,0,0.00734839,0.061253,0.119968
630,EAX,1206,9,460,76,39,104,49,15,101,119,107,136,262,6,104,14,5,27,13,8,21,7,13,50,0.00689685,0.0881291,0.0782584
640,EAX,1286,8,479,93,57,107,54,21,83,136,123,133,7,4,0,0,0,2,0,0,2,0,0,3,0.00862231,0.0643496,0.133992
650,EAX,3,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000677515,0.00989195,0.0684916
660,EAX,1359,10,499,86,46,121,50,24,101,162,124,146,0,0,0,0,0,0,0,0,0,0,0,0,0.00786886,0.0635845,0.123754
670,EAX,1167,7,451,82,42,101,56,22,71,133,110,99,0,0,0,0,0,0,0,0,0,0,0,0,0.0103833,0.0445568,0.233036
680,EAX,1135,7,437,68,35,87,45,20,79,125,95,144,7,3,2,0,0,0,1,0,0,1,0,3,0.00780205,0.0676648,0.115304
690,EAX,1317,8,535,90,32,113,53,21,83,135,132,123,0,0,0,0,0,0,0,0,0,0,0,0,0.00981103,0.0509652,0.192505
700,EAX,1146,7,427,90,40,94,41,16,77,131,101,129,0,0,0,0,0,0,0,0,0,0,0,0,0.00783907,0.0500983,0.156474
710,EAX,1144,6,443,70,39,80,50,19,85,144,124,90,0,0,0,0,0,0,0,0,0,0,0,0,0.00765301,0.0451736,0.169414
720,EAX,1346,7,538,102,53,109,58,21,90,120,131,124,0,0,0,0,0,0,0,0,0,0,0,0,0.00830648,0.0504298,0.164714
730,EAX,1236,9,482,79,46,99,60,13,92,141,114,110,0,0,0,0,0,0,0,0,0,0,0,0,0.0126218,0.0555192,0.227341
740,EAX,1243,8,496,86,41,115,52,18,75,119,116,125,87,5,23,5,2,4,6,2,7,2,3,33,0.00953848,0.0817321,0.116704
750,EAX,1218,7,446,88,35,98,44,19,97,130,125,136,0,0,0,0,0,0,0,0,0,0,0,0,0.0100286,0.056029,0.178989
760,EAX,1160,6,452,73,44,90,48,17,100,127,99,110,487,6,163,18,13,51,27,8,24,45,40,98,0.00643563,0.0842746,0.076365
770,EAX,1264,11,482,79,35,120,48,16,75,137,129,143,0,0,0,0,0,0,0,0,0,0,0,0,0.00901135,0.0599651,0.150277
780,EAX,1355,7,539,116,41,97,67,16,90,138,129,122,31,7,5,1,0,2,0,1,0,2,0,20,0.00840457,0.0708521,0.118621
790,EAX,1248,9,457,97,42,97,59,24,85,127,129,131,0,0,0,0,0,0,0,0,0,0,0,0,0.0130851,0.0581821,0.224899
800,EAX,1235,11,483,87,44,101,42,27,85,130,110,126,85,5,17,1,1,13,4,2,4,2,4,37,0.00918855,0.0883571,0.103993
810,EAX,1246,10,479,71,36,105,48,16,75,140,139,137,0,0,0,0,0,0,0,0,0,0,0,0,0.00680567,0.0565837,0.120276
820,EAX,1267,12,455,91,43,111,56,22,86,133,126,144,0,0,0,0,0,0,0,0,0,0,0,0,0.00912209,0.0615757,0.148144
830,EAX,1172,8,435,72,40,100,41,18,82,138,122,124,81,6,39,1,2,8,3,1,4,2,1,20,0.00830384,0.0771562,0.107624
840,EAX,1200,8,455,80,35,109,52,17,96,115,117,124,0,0,0,0,0,0,0,0,0,0,0,0,0.00756891,0.052215,0.144957
850,EAX,1158,12,440,82,42,88,39,15,77,128,128,119,0,0,0,0,0,0,0,0,0,0,0,0,0.0144945,0.0603291,0.240257
860,EAX,1349,10,523,83,42,118,52,12,76,150,143,150,0,0,0,0,0,0,0,0,0,0,0,0,0.00696152,0.0568673,0.122417
870,EAX,1298,7,475,90,42,119,68,11,85,162,108,138,0,0,0,0,0,0,0,0,0,0,0,0,0.0134694,0.0547904,0.245835
880,EAX,1137,7,459,91,34,77,39,13,105,113,87,119,132,8,31,7,1,11,9,3,4,8,6,52,0.0118856,0.0925111,0.128478
890,EAX,1239,8,474,84,41,95,50,17,90,133,124,131,0,0,0,0,0,0,0,0,0,0,0,0,0.00861796,0.0451554,0.190851
900,EAX,1317,9,495,80,43,125,54,26,92,129,112,161,0,0,0,0,0,0,0,0,0,0,0,0,0.00956132,0.0507094,0.188551
910,EAX,1225,6,517,76,43,103,48,11,77,130,118,102,107,6,20,4,1,10,5,3,11,5,2,46,0.00682161,0.0705092,0.0967477
920,EAX,1282,8,511,103,37,98,49,14,94,132,114,130,39,5,14,3,2,3,3,0,4,3,3,4,0.00914859,0.0737212,0.124097
930,EAX,1230,6,466,86,39,106,50,15,96,114,125,133,0,0,0,0,0,0,0,0,0,0,0,0,0.0082175,0.0444204,0.184994
940,EAX,1274,7,481,92,27,117,51,19,102,136,110,139,0,0,0,0,0,0,0,0,0,0,0,0,0.00596248,0.0481315,0.123879
950,EAX,1278,9,497,75,47,101,49,19,88,137,126,139,4,3,1,1,0,0,0,1,1,0,0,0,0.0069,0.0627222,0.110009
960,EAX,1387,11,506,99,48,124,57,26,97,146,136,148,233,11,70,6,3,27,11,2,16,18,10,70,0.00600743,0.108291,0.0554747
970,EAX,1347,7,512,83,39,116,58,21,94,144,138,142,3,3,3,0,0,0,0,0,0,0,0,0,0.0108476,0.0618199,0.175471
980,EAX,1395,9,586,95,28,138,49,21,78,134,119,147,288,7,93,9,7,33,11,7,12,17,8,91,0.0109324,0.101903,0.107283
990,EAX,1314,11,534,86,41,93,54,28,108,126,114,130,0,0,0,0,0,0,0,0,0,0,0,0,0.0115272,0.0526462,0.218956
1000,EAX,2,3,2,0,0,0,0,0,0,0,0,0,11,3,3,0,2,0,2,1,1,0,0,2,0.000671575,0.0240989,0.0278674
1010,EAX,1128,9,428,55,33,96,39,15,64,131,114,153,112,4,35,2,4,13,7,0,4,12,9,26,0.00671633,0.0842932,0.0796782
1020,EAX,1251,8,482,81,54,122,51,14,82,149,111,105,0,0,0,0,0,0,0,0,0,0,0,0,0.00905104,0.0509467,0.177657
1030,EAX,1259,9,486,79,46,103,47,20,78,133,116,151,1,3,0,0,0,0,0,0,0,0,0,1,0.0075353,0.0692582,0.1088
1040,EAX,1237,8,470,94,46,106,45,16,88,139,125,108,127,9,32,8,6,11,7,4,11,5,5,38,0.00713833,0.0782879,0.0911805
1050,EAX,1227,10,456,86,40,89,54,15,78,123,119,167,0,0,0,0,0,0,0,0,0,0,0,0,0.0110211,0.0616882,0.178657
1060,EAX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000669995,0.00851964,0.0786412
1070,EAX,1188,8,435,69,40,101,52,19,84,127,116,145,0,0,0,0,0,0,0,0,0,0,0,0,0.0071636,0.0567787,0.126167
1080,EAX,1146,7,449,93,33,96,36,23,77,125,94,120,0,0,0,0,0,0,0,0,0,0,0,0,0.0083904,0.0525036,0.159806
1090,EAX,1270,9,483,85,42,102,47,14,95,130,129,143,0,0,0,0,0,0,0,0,0,0,0,0,0.0166862,0.0576571,0.289405
1100,EAX,1192,13,440,86,40,97,58,20,76,112,125,138,32,4,12,0,2,3,1,0,0,2,2,10,0.0082048,0.0788627,0.104039
1110,EAX,1349,10,504,109,52,122,57,17,80,129,120,159,104,7,29,5,1,7,3,1,7,2,3,46,0.0101077,0.0888657,0.113741
1120,EAX,1342,10,521,105,46,99,60,34,73,144,124,136,0,0,0,0,0,0,0,0,0,0,0,0,0.00680857,0.0616347,0.110467
1130,EAX,11,3,3,0,0,0,1,0,0,0,0,7,3,3,0,0,0,1,0,0,0,0,1,1,0.000693125,0.0204574,0.0338813
1140,EAX,1176,7,443,103,47,96,39,19,74,135,117,103,0,0,0,0,0,0,0,0,0,0,0,0,0.0117949,0.0491443,0.240005
1150,EAX,1242,10,484,75,32,96,46,18,69,128,128,166,1,3,1,0,0,0,0,0,0,0,0,0,0.00997303,0.0690916,0.144345
1160,EAX,1413,8,550,88,57,121,56,25,81,153,139,143,20,4,3,0,1,2,0,0,0,1,0,13,0.00949733,0.0606538,0.156583
1170,EAX,1225,11,448,71,55,105,51,21,67,147,125,135,0,0,0,0,0,0,0,0,0,0,0,0,0.00474266,0.0557184,0.0851185
1180,EAX,1283,9,486,74,37,107,52,16,93,122,141,155,0,0,0,0,0,0,0,0,0,0,0,0,0.0116747,0.0615548,0.189664
1190,EAX,1343,7,531,92,56,101,57,18,77,150,128,133,16,3,4,0,1,5,0,0,1,0,2,3,0.0126383,0.063137,0.200172
1200,EAX,1327,9,531,95,44,115,48,16,75,151,130,122,1,3,0,0,0,0,0,0,0,0,0,1,0.0120156,0.0623176,0.192812
1210,EAX,1325,8,515,90,53,117,64,19,77,144,130,116,0,0,0,0,0,0,0,0,0,0,0,0,0.00574266,0.043492,0.132039
1220,EAX,1277,8,448,103,52,119,52,19,76,125,115,168,83,5,15,1,4,13,2,1,4,1,2,40,0.00897198,0.0904407,0.0992029
1230,EAX,1267,7,470,82,49,89,52,16,86,163,126,134,0,0,0,0,0,0,0,0,0,0,0,0,0.00816152,0.0515311,0.15838
1240,EAX,1322,8,530,96,49,100,49,13,91,141,116,137,0,0,0,0,0,0,0,0,0,0,0,0,0.00764497,0.0546916,0.139783
1250,EAX,1240,10,491,76,33,110,43,21,87,112,127,140,0,0,0,0,0,0,0,0,0,0,0,0,0.0102239,0.0556212,0.183812
1260,EAX,1258,9,517,71,49,84,56,18,96,139,110,118,17,3,9,0,0,3,1,0,1,0,0,3,0.00643697,0.0621824,0.103517
1270,EAX,1184,8,462,79,36,91,57,19,81,121,121,117,0,0,0,0,0,0,0,0,0,0,0,0,0.00681918,0.0524317,0.130058
1280,EAX,1333,9,495,96,54,118,59,18,76,147,144,126,0,0,0,0,0,0,0,0,0,0,0,0,0.0116721,0.0594864,0.196215
1290,EAX,1248,8,475,87,39,92,48,20,78,140,106,163,88,4,28,0,1,11,4,1,7,7,4,25,0.00775066,0.084734,0.0914704
1300,EAX,1245,10,525,88,41,116,41,32,84,115,76,127,0,0,0,0,0,0,0,0,0,0,0,0,0.00583708,0.0627754,0.0929836
1310,EAX,1303,10,540,73,56,104,48,21,98,110,117,136,0,0,0,0,0,0,0,0,0,0,0,0,0.0060083,0.0530149,0.113332
1320,EAX,1280,10,512,84,42,81,38,17,90,142,122,152,0,0,0,0,0,0,0,0,0,0,0,0,0.00859934,0.0525092,0.163768
1330,EAX,1228,9,449,76,34,116,50,22,73,148,120,140,0,0,0,0,0,0,0,0,0,0,0,0,0.00860665,0.0564227,0.152539
1340,EAX,1311,8,468,66,52,119,47,29,77,157,130,166,51,6,14,1,1,9,3,0,2,1,0,20,0.00550536,0.0793639,0.0693685
1350,EAX,1246,8,469,75,47,126,44,16,97,150,92,130,0,0,0,0,0,0,0,0,0,0,0,0,0.0127292,0.0618251,0.205891
1360,EAX,1161,9,411,91,36,106,41,16,56,134,122,148,0,0,0,0,0,0,0,0,0,0,0,0,0.00628263,0.0575933,0.109086
1370,EAX,1319,10,458,105,53,122,53,24,83,167,111,143,4,3,0,0,0,0,0,0,0,0,0,4,0.0101526,0.0744696,0.136332
1380,EAX,1312,8,502,103,36,102,41,26,94,115,162,131,13,3,7,1,1,1,0,0,1,1,0,1,0.00695184,0.0583911,0.119056
1390,EAX,1151,7,451,93,55,89,51,16,99,105,97,95,0,0,0,0,0,0,0,0,0,0,0,0,0.00684566,0.0500664,0.136732
1400,EAX,1393,9,494,100,47,138,71,16,91,138,138,160,0,0,0,0,0,0,0,0,0,0,0,0,0.00812352,0.0690164,0.117704
1410,EAX,1286,8,487,73,38,111,52,27,82,149,121,146,9,3,3,1,0,2,0,0,1,0,0,2,0.00939398,0.0626542,0.149934
1420,EAX,1213,8,422,88,54,109,59,18,69,128,120,146,0,0,0,0,0,0,0,0,0,0,0,0,0.00687489,0.0533171,0.128943
1430,EAX,1136,8,433,78,46,109,42,9,82,108,113,116,0,0,0,0,0,0,0,0,0,0,0,0,0.00757218,0.0491748,0.153985
1440,EAX,1209,8,467,103,37,100,41,32,81,128,120,100,59,6,21,0,2,6,3,1,5,2,4,15,0.0123819,0.0690779,0.179245
1450,EAX,1246,10,443,86,43,94,51,18,82,148,134,147,0,0,0,0,0,0,0,0,0,0,0,0,0.0103074,0.0621728,0.165786
1460,EAX,1168,9,455,91,37,79,59,21,80,124,100,122,35,4,6,0,3,1,1,0,4,2,1,17,0.00710424,0.0630606,0.112657
1470,EAX,1195,14,395,70,42,110,55,24,63,128,129,179,0,0,0,0,0,0,0,0,0,0,0,0,0.00862982,0.0693451,0.124447
1480,EAX,1346,7,513,93,46,95,61,19,77,152,151,139,0,0,0,0,0,0,0,0,0,0,0,0,0.0150536,0.0499799,0.301194
1490,EAX,1348,9,529,99,33,96,55,28,96,120,134,158,0,0,0,0,0,0,0,0,0,0,0,0,0.0106719,0.0602186,0.177219
1500,EAX,1317,7,493,99,42,104,56,23,96,154,134,116,0,0,0,0,0,0,0,0,0,0,0,0,0.0124308,0.0547933,0.226868
1510,EAX,1194,8,461,67,40,116,53,13,70,139,101,134,225,6,86,4,2,28,6,2,10,6,6,75,0.00777585,0.0948097,0.0820154
1520,EAX,1169,8,440,65,52,86,43,26,85,131,111,130,0,0,0,0,0,0,0,0,0,0,0,0,0.00690246,0.063395,0.10888
1530,EAX,1174,8,447,77,33,103,35,13,79,137,113,137,0,0,0,0,0,0,0,0,0,0,0,0,0.00592842,0.0559353,0.105987
1540,EAX,1297,9,485,95,51,110,72,7,101,134,112,130,94,6,22,4,3,13,4,4,3,5,1,35,0.0093662,0.0825233,0.113498
1550,EAX,1349,8,525,90,36,108,46,17,78,152,154,143,50,5,16,0,0,6,4,0,4,2,2,16,0.00501591,0.0732235,0.0685013
1560,EAX,1314,8,483,80,38,110,67,19,93,143,115,166,0,0,0,0,0,0,0,0,0,0,0,0,0.00780067,0.0535488,0.145674
